encoder,chunk_set,k,urgency_class,n_queries,safety_gap_at_k,unsafe_at_k
pubmedbert-msmarco,para_500,3,routine,8,0.75,0.0
pubmedbert-msmarco,para_500,3,urgent,32,0.6354,0.0312
pubmedbert-msmarco,para_500,5,routine,8,0.75,0.0
pubmedbert-msmarco,para_500,5,urgent,32,0.6125,0.05
pubmedbert-msmarco,para_800,1,routine,8,0.875,0.0
pubmedbert-msmarco,para_800,1,urgent,32,0.75,0.125
pubmedbert-msmarco,para_800,3,routine,8,0.7083,0.0
pubmedbert-msmarco,para_800,3,urgent,32,0.625,0.0625
pubmedbert-msmarco,para_800,5,routine,8,0.7,0.0
pubmedbert-msmarco,para_800,5,urgent,32,0.6312,0.05
