encoder,chunk_set,k,topic,n_queries,safety_gap_at_k,unsafe_at_k
minilm,fixed_800,5,hypertension,10,0.5,0.02
minilm,fixed_800,5,labour,10,0.7,0.0
minilm,fixed_800,5,postnatal,10,0.42,0.04
minilm,fixed_800,5,pph,10,0.36,0.0
minilm,para_300,1,hypertension,10,0.8,0.0
minilm,para_300,1,labour,10,0.6,0.1
minilm,para_300,1,postnatal,10,0.4,0.0
minilm,para_300,1,pph,10,0.4,0.0
minilm,para_300,3,hypertension,10,0.6333,0.0333
minilm,para_300,3,labour,10,0.6667,0.0333
minilm,para_300,3,postnatal,10,0.3333,0.0333
minilm,para_300,3,pph,10,0.3,0.0
minilm,para_300,5,hypertension,10,0.6,0.02
minilm,para_300,5,labour,10,0.64,0.02
minilm,para_300,5,postnatal,10,0.3,0.02
minilm,para_300,5,pph,10,0.24,0.0
minilm,para_500,1,hypertension,10,0.6,0.0
minilm,para_500,1,labour,10,0.5,0.1
minilm,para_500,1,postnatal,10,0.3,0.1
minilm,para_500,1,pph,10,0.3,0.0
minilm,para_500,3,hypertension,10,0.7,0.0333
minilm,para_500,3,labour,10,0.5667,0.1666
minilm,para_500,3,postnatal,10,0.3333,0.0333
minilm,para_500,3,pph,10,0.2333,0.0
minilm,para_500,5,hypertension,10,0.68,0.02
minilm,para_500,5,labour,10,0.62,0.12
minilm,para_500,5,postnatal,10,0.32,0.06
minilm,para_500,5,pph,10,0.28,0.0
minilm,para_800,1,hypertension,10,0.7,0.1
minilm,para_800,1,labour,10,0.7,0.5
minilm,para_800,1,postnatal,10,0.2,0.0
minilm,para_800,1,pph,10,0.4,0.0
minilm,para_800,3,hypertension,10,0.7333,0.1
minilm,para_800,3,labour,10,0.6333,0.2
minilm,para_800,3,postnatal,10,0.3333,0.0333
minilm,para_800,3,pph,10,0.4,0.0333
minilm,para_800,5,hypertension,10,0.68,0.06
minilm,para_800,5,labour,10,0.64,0.12
minilm,para_800,5,postnatal,10,0.38,0.02
minilm,para_800,5,pph,10,0.34,0.02
pubmedbert-msmarco,fixed_300,1,hypertension,10,0.3,0.0
pubmedbert-msmarco,fixed_300,1,labour,10,0.5,0.1
pubmedbert-msmarco,fixed_300,1,postnatal,10,0.4,0.0
pubmedbert-msmarco,fixed_300,1,pph,10,0.5,0.0
pubmedbert-msmarco,fixed_300,3,hypertension,10,0.3,0.0
pubmedbert-msmarco,fixed_300,3,labour,10,0.5,0.0333
pubmedbert-msmarco,fixed_300,3,postnatal,10,0.4333,0.0
pubmedbert-msmarco,fixed_300,3,pph,10,0.3667,0.0
pubmedbert-msmarco,fixed_300,5,hypertension,10,0.42,0.0
pubmedbert-msmarco,fixed_300,5,labour,10,0.46,0.04
pubmedbert-msmarco,fixed_300,5,postnatal,10,0.4,0.0
pubmedbert-msmarco,fixed_300,5,pph,10,0.28,0.0
pubmedbert-msmarco,fixed_500,1,hypertension,10,0.1,0.0
pubmedbert-msmarco,fixed_500,1,labour,10,0.6,0.0
pubmedbert-msmarco,fixed_500,1,postnatal,10,0.3,0.0
pubmedbert-msmarco,fixed_500,1,pph,10,0.4,0.3
pubmedbert-msmarco,fixed_500,3,hypertension,10,0.4,0.0333
pubmedbert-msmarco,fixed_500,3,labour,10,0.4667,0.0333
pubmedbert-msmarco,fixed_500,3,postnatal,10,0.2667,0.0
pubmedbert-msmarco,fixed_500,3,pph,10,0.2333,0.1
pubmedbert-msmarco,fixed_500,5,hypertension,10,0.42,0.06
pubmedbert-msmarco,fixed_500,5,labour,10,0.48,0.06
pubmedbert-msmarco,fixed_500,5,postnatal,10,0.32,0.0
pubmedbert-msmarco,fixed_500,5,pph,10,0.18,0.06
pubmedbert-msmarco,fixed_800,1,hypertension,10,0.2,0.0
pubmedbert-msmarco,fixed_800,1,labour,10,0.9,0.0
pubmedbert-msmarco,fixed_800,1,postnatal,10,0.7,0.0
pubmedbert-msmarco,fixed_800,1,pph,10,0.5,0.0
pubmedbert-msmarco,fixed_800,3,hypertension,10,0.4667,0.0
pubmedbert-msmarco,fixed_800,3,labour,10,0.5667,0.0
pubmedbert-msmarco,fixed_800,3,postnatal,10,0.5667,0.0
pubmedbert-msmarco,fixed_800,3,pph,10,0.3,0.0
pubmedbert-msmarco,fixed_800,5,hypertension,10,0.44,0.0
pubmedbert-msmarco,fixed_800,5,labour,10,0.42,0.0
pubmedbert-msmarco,fixed_800,5,postnatal,10,0.62,0.0
pubmedbert-msmarco,fixed_800,5,pph,10,0.28,0.0
pubmedbert-msmarco,para_300,1,hypertension,10,0.5,0.0
pubmedbert-msmarco,para_300,1,labour,10,0.7,0.1
pubmedbert-msmarco,para_300,1,postnatal,10,0.5,0.2
pubmedbert-msmarco,para_300,1,pph,10,0.5,0.0
pubmedbert-msmarco,para_300,3,hypertension,10,0.4333,0.0
pubmedbert-msmarco,para_300,3,labour,10,0.7333,0.0333
pubmedbert-msmarco,para_300,3,postnatal,10,0.4667,0.1
pubmedbert-msmarco,para_300,3,pph,10,0.4,0.0
pubmedbert-msmarco,para_300,5,hypertension,10,0.4,0.0
pubmedbert-msmarco,para_300,5,labour,10,0.72,0.02
pubmedbert-msmarco,para_300,5,postnatal,10,0.4,0.06
pubmedbert-msmarco,para_300,5,pph,10,0.36,0.0
pubmedbert-msmarco,para_500,1,hypertension,10,0.6,0.0
pubmedbert-msmarco,para_500,1,labour,10,0.4,0.1
pubmedbert-msmarco,para_500,1,postnatal,10,0.4,0.1
pubmedbert-msmarco,para_500,1,pph,10,0.2,0.0
pubmedbert-msmarco,para_500,3,hypertension,10,0.5,0.0
pubmedbert-msmarco,para_500,3,labour,10,0.4333,0.0333
pubmedbert-msmarco,para_500,3,postnatal,10,0.3,0.0667
pubmedbert-msmarco,para_500,3,pph,10,0.3333,0.0
pubmedbert-msmarco,para_500,5,hypertension,10,0.42,0.0
pubmedbert-msmarco,para_500,5,labour,10,0.42,0.04
pubmedbert-msmarco,para_500,5,postnatal,10,0.28,0.08
pubmedbert-msmarco,para_500,5,pph,10,0.28,0.0
pubmedbert-msmarco,para_800,1,hypertension,10,0.7,0.0
pubmedbert-msmarco,para_800,1,labour,10,0.4,0.2
pubmedbert-msmarco,para_800,1,postnatal,10,0.5,0.0
pubmedbert-msmarco,para_800,1,pph,10,0.3,0.0
pubmedbert-msmarco,para_800,3,hypertension,10,0.5333,0.0
pubmedbert-msmarco,para_800,3,labour,10,0.4333,0.1
pubmedbert-msmarco,para_800,3,postnatal,10,0.3333,0.0333
pubmedbert-msmarco,para_800,3,pph,10,0.2,0.0
pubmedbert-msmarco,para_800,5,hypertension,10,0.42,0.0
pubmedbert-msmarco,para_800,5,labour,10,0.38,0.06
pubmedbert-msmarco,para_800,5,postnatal,10,0.42,0.02
pubmedbert-msmarco,para_800,5,pph,10,0.16,0.0
