query_id,encoder,chunk_set,k,topic,urgency_class,precision_at_k,safe_precision_at_k,unsafe_at_k,safety_gap_at_k
labour_02,e5-base,fixed_300,1,labour,urgent,1.0,0.0,0.0,1.0
labour_02,e5-base,fixed_300,3,labour,urgent,1.0,0.0,0.0,1.0
labour_02,e5-base,fixed_300,5,labour,urgent,1.0,0.0,0.0,1.0
labour_03,e5-base,fixed_300,1,labour,urgent,1.0,0.0,0.0,1.0
labour_03,e5-base,fixed_300,3,labour,urgent,1.0,0.0,0.0,1.0
labour_03,e5-base,fixed_300,5,labour,urgent,1.0,0.0,0.0,1.0
labour_04,e5-base,fixed_300,1,labour,urgent,1.0,0.0,0.0,1.0
labour_04,e5-base,fixed_300,3,labour,urgent,1.0,0.0,0.0,1.0
labour_04,e5-base,fixed_300,5,labour,urgent,1.0,0.0,0.0,1.0
labour_05,e5-base,fixed_300,1,labour,urgent,0.0,0.0,0.0,0.0
labour_05,e5-base,fixed_300,3,labour,urgent,0.6667,0.0,0.0,0.6667
labour_05,e5-base,fixed_300,5,labour,urgent,0.4,0.0,0.0,0.4
labour_06,e5-base,fixed_300,1,labour,urgent,0.0,0.0,0.0,0.0
labour_06,e5-base,fixed_300,3,labour,urgent,0.0,0.0,0.0,0.0
labour_06,e5-base,fixed_300,5,labour,urgent,0.0,0.0,0.0,0.0
labour_07,e5-base,fixed_300,1,labour,urgent,1.0,0.0,0.0,1.0
labour_07,e5-base,fixed_300,3,labour,urgent,0.3333,0.0,0.0,0.3333
labour_07,e5-base,fixed_300,5,labour,urgent,0.4,0.0,0.0,0.4
labour_08,e5-base,fixed_300,1,labour,urgent,1.0,0.0,0.0,1.0
labour_08,e5-base,fixed_300,3,labour,urgent,1.0,0.0,0.0,1.0
labour_08,e5-base,fixed_300,5,labour,urgent,0.8,0.0,0.0,0.8
labour_09,e5-base,fixed_300,1,labour,routine,1.0,1.0,0.0,0.0
labour_09,e5-base,fixed_300,3,labour,routine,0.3333,0.3333,0.0,0.0
labour_09,e5-base,fixed_300,5,labour,routine,0.2,0.2,0.0,0.0
labour_10,e5-base,fixed_300,1,labour,routine,0.0,0.0,0.0,0.0
labour_10,e5-base,fixed_300,3,labour,routine,0.3333,0.3333,0.0,0.0
labour_10,e5-base,fixed_300,5,labour,routine,0.2,0.2,0.0,0.0
postnatal_01,e5-base,fixed_300,1,postnatal,urgent,0.0,0.0,0.0,0.0
postnatal_01,e5-base,fixed_300,3,postnatal,urgent,0.3333,0.0,0.0,0.3333
postnatal_01,e5-base,fixed_300,5,postnatal,urgent,0.2,0.0,0.0,0.2
postnatal_02,e5-base,fixed_300,1,postnatal,urgent,1.0,0.0,0.0,1.0
postnatal_02,e5-base,fixed_300,3,postnatal,urgent,0.6667,0.0,0.0,0.6667
postnatal_02,e5-base,fixed_300,5,postnatal,urgent,0.4,0.0,0.0,0.4
postnatal_03,e5-base,fixed_300,1,postnatal,urgent,0.0,0.0,0.0,0.0
postnatal_03,e5-base,fixed_300,3,postnatal,urgent,0.0,0.0,0.0,0.0
postnatal_03,e5-base,fixed_300,5,postnatal,urgent,0.0,0.0,0.0,0.0
postnatal_04,e5-base,fixed_300,1,postnatal,urgent,0.0,0.0,0.0,0.0
postnatal_04,e5-base,fixed_300,3,postnatal,urgent,0.3333,0.0,0.0,0.3333
postnatal_04,e5-base,fixed_300,5,postnatal,urgent,0.6,0.0,0.0,0.6
postnatal_05,e5-base,fixed_300,1,postnatal,urgent,1.0,0.0,0.0,1.0
